title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
The Book of Kells,Ben Mackworth-Praed,64,Ebury Publishing,2008-03-06,9.93,0.07,3.64,123,0,15,42,38,28,65852,9780091926342,English,"Home, Garden"
"Scraps, Inc. Vol. 2 : 15 Scrap-Pieced Designs for the Modern Quilter",Susanne Woods,128,LUCKY SPOOL MEDIA,2016-03-01,21.32,7.18,4.33,24,0,0,4,8,12,231567,9781940655192,English,"Home, Garden"
The Floral Birthday Book : Flowers and Their Emblems,William Foster,264,Applewood Books,2000-11-01,13.96,2.04,3.86,7,0,0,3,2,2,239126,9781557093851,English,"Home, Garden"
Birdhouses You Can Build in a Day,Popular Woodworking Books,128,F&W Publications Inc,2004-10-29,23.38,3.62,4.04,45,0,4,6,19,16,462286,9781558707047,English,"Home, Garden"
The Little Book of Bonsai : An Easy Guide to Caring for Your Bonsai Tree,Jonas Dupuich,112,Ten Speed Press,2020-01-28,15.91,0.09,3.93,98,0,2,31,37,28,232167,9780399582592,English,"Home, Garden"
The Book of the Flower : Flowers in Art,"Angus Hyland, Kendra Wilson",160,Orion Publishing Co,2019-05-17,15.99,2.01,4.07,41,0,1,9,17,14,339300,9781786272454,English,"Home, Garden"
The Repair Shop : LIFE IN THE BARN: The Inside Stories from the Experts: THE BRAND NEW BOOK FOR 2022,"Elizabeth Wilhide, Jayne Dowle, Jay Blades",192,Octopus Publishing Group,2022-11-01,19.81,7.19,4.3,10,0,0,2,3,5,8931,9781914239649,English,"Home, Garden"
The Little Book of Hygge : Danish Secrets to Happy Living,Meik Wiking,240,William Morrow & Company,2017-01-17,19.45,1.05,3.76,92992,2279,7238,25997,32216,25262,63970,9780062658807,English,"Home, Garden"
RHS A Gardener's Five Year Record Book,Rhs,144,Frances Lincoln Publishers Ltd,2017-04-06,17.68,8.82,4.44,9,0,0,2,1,6,7712,9780711238695,English,"Home, Garden"
The Book of the Courtier,"Baldesar Castiglione, George Bull",368,Penguin Books Ltd,1976-10-28,13.05,0.95,3.64,2477,68,239,783,810,577,62784,9780140441925,English,"Home, Garden"
The Big Bucket List Book : 133 Experiences of a Lifetime,Gin Sander,256,"Sourcebooks, Inc",2016-02-01,15.97,0.03,3.29,72,3,10,31,19,9,487168,9781492609803,English,"Home, Garden"
The Spa Book : The Official Guide to Spa Therapy,"Jane Crebbin-Bailey, John Harcup, John Harrington",288,Cengage Learning EMEA,2004-11-01,52.53,13.47,4.4,5,0,0,1,1,3,516509,9781861529176,English,"Home, Garden"
Do Grow : Start with 10 Simple Vegetables,Alice Holden,160,The Do Book Co,2018-05-15,10.68,1.82,3.88,78,1,3,21,32,21,361561,9781907974021,English,"Home, Garden"
