title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
The Motley Fool: You Have More Than You Think: the Foolish Guide to Personal Finance,"David Gardner, Tom Gardner",322,Simon & Schuster Ltd,2001-01-02,19.95,0.95,3.75,482,12,39,129,181,121,895997,9780743201742,English,"Personal, Development"
Protection Spells: Volume 1 : An Enchanting Spell Book to Clear Negative Energy,Aurora Kane,160,"Wellfleet Press,U.S.",2022-09-06,10.98,3.02,4,10,0,0,2,6,2,2206282,9781577153122,English,"Personal, Development"
"The Little Book of CBD : A simple, trustworthy guide to a powerful essential oil",Idan Naor,128,Ebury Publishing,2020-10-27,9.62,6.88,2.5,2,0,1,1,0,0,1351068,9781529107203,English,"Personal, Development"
A Visible Man : The Top 5 Sunday Times bestseller and BBC Radio 4 Book of the Week,Edward Enninful,288,Bloomsbury Publishing PLC,2022-09-06,26.60,3.90,4.11,678,7,16,109,308,238,420047,9781526641533,English,"Personal, Development"
The Little Art of War Book : Strategies to Live By,Orange Hippo!,192,Welbeck Publishing Group,2020-12-15,9.57,0.43,4,3,0,1,0,0,2,27147,9781911610632,English,"Personal, Development"
"The Little Book of Self-Soothing : 150 Ways to Manage Emotions, Relieve Stress, and Restore Calm",Robin Raven,192,Adams Media Corporation,2023-02-23,14.58,1.42,4.71,7,0,0,0,2,5,40579,9781507219614,English,"Personal, Development"
A Little Book of Happiness,Ruskin Bond,162,Speaking Tiger Books,2016-05-10,10.98,3.42,4.19,496,4,13,79,188,212,1487054,9789385755866,English,"Personal, Development"
The Fortune Telling Book : The Encyclopedia of Divination and Soothsaying,Raymond Buckland,546,Visible Ink Press,2013-04-05,43.66,3.84,4,32,0,3,7,9,13,1360222,9781578591473,English,"Personal, Development"
The Little Book of Gratitude : Give More Thanks,Joanna Gray,192,Quadrille Publishing Ltd,2021-10-05,10.23,2.77,4,4,0,0,0,4,0,1132815,9781787137363,English,"Personal, Development"
The Little Art of War Book : Strategies to Live By,Orange Hippo!,192,Welbeck Publishing Group,2020-12-15,9.57,0.43,4,3,0,1,0,0,2,27147,9781911610632,English,"Personal, Development"
"The Little Book of Self-Soothing : 150 Ways to Manage Emotions, Relieve Stress, and Restore Calm",Robin Raven,192,Adams Media Corporation,2023-02-23,14.58,1.42,4.71,7,0,0,0,2,5,40579,9781507219614,English,"Personal, Development"
