title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
The Lady Jewel Diviner : Book 1 in the Lady Diviner series,Rosalie Oaks,266,Parkerville Press,2021-01-17,14.88,0.92,3.85,932,14,52,249,359,258,1177369,9780645027853,English,"Food, Drink"
Foods That Combat Aging : The Nutritional Way to Stay Healthy Longer,Deborah Mitchell,240,HarperCollins Publishers Inc,2008-01-14,7.58,0.42,2.82,11,0,3,7,1,0,2029012,9780061346200,English,"Food, Drink"
"The Mushroom Book : A Popular Guide to the Identification and Study of Our Commoner Fungi, with Special Emphasis on the Edible Varieties",Nina Lovering Marshall,338,Franklin Classics Trade Press,2018-10-22,26.32,0.63,5,1,0,0,0,0,1,9780344009525,9780344009525,English,"Food, Drink"
Are You My Wine? : A Children's Book Parody for Adults Exploring the World of Wine,Reese Ling,32,Ulysses Press,2021-06-17,8.52,2.48,4.43,21,0,1,3,3,14,29115,9781646042579,English,"Food, Drink"
Adventures in the Slavic Kitchen : A book of Essays with Recipes,Igor Klekh,186,GLAGOSLAV PUBLICATIONS B.V.,2016-09-30,29.85,3.15,3.6,5,0,0,3,1,1,1601350,9781784379971,English,"Food, Drink"
The Yummiest Githeri,Kwame Nyong'o,36,Kwame Nyong'o,2019-01-15,11.33,1.17,5,1,0,0,0,0,1,2880301,9789966825520,English,"Food, Drink"
I Love Ugali and Sukuma Wiki,Kwame Nyong'o,36,Kwame Nyong'o,2019-04-06,11.33,0.27,4,3,0,0,1,1,1,2877032,9789966825483,English,"Food, Drink"
Foods That Combat Aging : The Nutritional Way to Stay Healthy Longer,Deborah Mitchell,240,HarperCollins Publishers Inc,2008-01-14,7.58,0.42,2.82,11,0,3,7,1,0,2029012,9780061346200,English,"Food, Drink"
"Kebab Recipes : 25 Kebab Recipes will take you through a journey of flavorful, colorful, and marinated steak, beef, chicken, lamb, fish, and pork kebab recipes with quarters of fresh vegetables",George V,56,George V.,2020-12-22,9.24,3.96,4.4,5,0,0,1,1,3,9781716308130,9781716308130,English,"Food, Drink"
Laxiba The Sorbitol Navigator : The Standard for Sorbitol Intolerance,J N Stratbucker,236,LAXIBA,2016-04-14,35.64,7.06,4,2,0,0,0,2,0,2279617,9781941978399,English,"Food, Drink"
"Kebab Recipes : 25 Kebab Recipes will take you through a journey of flavorful, colorful, and marinated steak",George V,56,Blurb,2022-11-10,23.27,9.73,4.4,5,0,0,1,1,3,9781034139812,9781034139812,English,"Food, Drink"
"The Low Carb Vegan Cookbook : Ketogenic Breads, Fat Bombs & Delicious Plant Based Recipes (Full-Color Edition)",Eva Hammond,210,HMPL Publishing,2017-11-25,30.26,16.74,3.67,21,1,2,7,4,7,2027802,9789492788115,English,"Food, Drink"
The Book Of Cheese,"Charles Thom, Walter Warner Fisk",276,Lector House,2020-06-06,17.70,0.70,3.85,13,0,0,6,3,4,9789389614121,9789389614121,English,"Food, Drink"
Body And Soul Food,Abby Collette,336,Bantam Doubleday Dell Publishing Group Inc,2021-11-30,9.67,0.33,3.5,620,10,57,249,220,84,2420170,9780593336175,English,"Food, Drink"
"Gilded Age Cocktails : History, Lore, and Recipes from America's Golden Age",Cecelia Tichi,176,New York University Press,2021-05-04,20.09,0.41,4.03,67,0,5,11,28,23,2178314,9781479805259,English,"Food, Drink"
The Book of Tea,"Kakuzo Okakura, 1stworldpublishing, 1stworldlibrary",108,1st World Publishing,2013-11-10,22.91,10.49,3.86,13112,248,854,3297,4796,3917,9781421851457,9781421851457,English,"Food, Drink"
The Book of Tea,"Kakuzo Okakura, Anita B Schafer",90,Littleberry Press LLC,2022-06-06,10.60,1.50,3.86,13112,248,854,3297,4796,3917,9781940750965,9781940750965,English,"Food, Drink"
"The Honey Book : Health, Healing & Recipes","Andrea Kirk Assaf, Amy Holliday",144,HarperCollins Publishers,2022-05-03,14.23,2.27,4,5,0,0,1,3,1,2901435,9780008430115,English,"Food, Drink"
Laxiba The Sorbitol Navigator : The Standard for Sorbitol Intolerance,J N Stratbucker,236,LAXIBA,2016-04-14,35.64,7.06,4,2,0,0,0,2,0,2279617,9781941978399,English,"Food, Drink"
"Gilded Age Cocktails : History, Lore, and Recipes from America's Golden Age",Cecelia Tichi,176,New York University Press,2021-05-04,20.09,0.41,4.03,67,0,5,11,28,23,2178314,9781479805259,English,"Food, Drink"
Body And Soul Food,Abby Collette,336,Bantam Doubleday Dell Publishing Group Inc,2021-11-30,9.67,0.33,3.5,620,10,57,249,220,84,2420170,9780593336175,English,"Food, Drink"
The Crawfish Book,Glen Pitre,277,University Press of Mississippi,1993-04-01,28.02,5.98,4,4,0,0,0,4,0,3160168,9780878055999,English,"Food, Drink"
The Book of Tea,Kakuzo Okakura,44,Alpha Edition,2021-11-22,11.03,1.57,3.86,13112,248,854,3297,4796,3917,9789355392176,9789355392176,English,"Food, Drink"
"A Book of Cookery : Containing Above Three Hundred Receipts Made at Hearth, Suitable for an Elegant Entertainment or Common Fare for Prepa",Kimberly K Walters,348,Kimberly K. Walters,2014-08-28,38.04,9.96,3.5,2,0,1,0,0,1,9780692269800,9780692269800,English,"Food, Drink"
The Book Of Cheese,Charles Thom,410,Read Books,2009-10-23,35.32,2.38,3.85,13,0,0,6,3,4,9781444653182,9781444653182,English,"Food, Drink"
The Book Of Cheese,Charles Thom,410,Read Books,2009-10-23,29.38,4.82,3.85,13,0,0,6,3,4,9781444653502,9781444653502,English,"Food, Drink"
The Book of the Chef,Chef Gilberto Barrera Prada,164,Xlibris,2009-10-27,22.58,27.22,5,1,0,0,0,0,1,9781441572929,9781441572929,Multiple languages,"Food, Drink"
Handbook of Herbs and Spices,K V Peter,624,Elsevier Science & Technology,2016-09-02,159.96,60.04,4,1,0,0,0,1,0,2909156,9780081016176,English,"Food, Drink"
"Seat Yourself : The Best of South Louisiana's Local Diners, Lunch Houses, and Roadside Stops",Alex V. Cook,192,Louisiana State University Press,2016-04-04,17.43,3.57,4,4,0,1,0,1,2,3120338,9780807162538,English,"Food, Drink"
Rockin' Chair Cowboys : and Other Short Stories,"V M Wolter, Joseph A Zapalac",290,Outskirts Press,2010-06-24,21.95,0.65,5,1,0,0,0,0,1,9781432760601,9781432760601,English,"Food, Drink"
The Book of the Chef,Chef Gilberto Barrera Prada,164,Xlibris,2009-10-27,22.58,27.22,5,1,0,0,0,0,1,9781441572929,9781441572929,Multiple languages,"Food, Drink"
Pieman - The Papa D Story : The Secret To Life Through Comfort Foods,"June V Bourgo, Dennis Bourgo",164,Next Chapter,2022-09-06,12.73,2.07,5,3,0,0,0,0,3,9784824148735,9784824148735,English,"Food, Drink"
The Book of Eating : Adventures in Professional Gluttony,Adam Platt,272,ECCO Press,2020-11-03,17.78,1.22,3.38,348,14,42,137,109,46,9780062293558,9780062293558,English,"Food, Drink"
The Faygo Book,Joe Grimm,136,Wayne State University Press,2018-10-01,34.70,13.10,4,57,0,2,12,27,16,9780814345856,9780814345856,English,"Food, Drink"
The Faygo Book,Joe Grimm,136,Wayne State University Press,2018-10-01,34.70,13.10,4,57,0,2,12,27,16,9780814345856,9780814345856,English,"Food, Drink"
The Book of Tea,Kakuzo Okakura,44,Alpha Edition,2021-11-22,11.03,1.57,3.86,13112,248,854,3297,4796,3917,9789355392176,9789355392176,English,"Food, Drink"
The Crawfish Book,Glen Pitre,277,University Press of Mississippi,1993-04-01,28.02,5.98,4,4,0,0,0,4,0,3160168,9780878055999,English,"Food, Drink"
The Catfish Book,"Linda Crawford, Craig Claiborne",140,University Press of Mississippi,2009-08-20,27.86,5.84,2.5,2,0,1,1,0,0,9781604733891,9781604733891,English,"Food, Drink"
This Book Cooks,Kerry Dunnington,236,Xlibris,2004-11-12,20.40,2.00,4.5,2,0,0,0,1,1,9781413465440,9781413465440,English,"Food, Drink"
"Recipe Book : The Best Food Recipes That Are Delicious, Healthy, Great For Energy And Easy To Make",Ace Mccloud,48,Pro Mastery Publishing,2017-03-21,21.30,1.60,2.4,5,1,2,1,1,0,9781640483156,9781640483156,English,"Food, Drink"
The Book of Tea,Kakuzo Okakura,108,Akasha Classics,2009-03-12,22.45,5.45,3.86,12987,246,845,3269,4744,3883,3611029,9781605123776,English,"Food, Drink"
