title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
Colleen Hoover Books : The Biography of Colleen Hoover: Author of It Ends with Us,Varsity Press,34,Green Print Publishers,2022-02-16,9.55,3.15,3.15,13,2,4,1,2,4,9781638090236,9781638090236,English,Biography
The Little Book of Big Explorations : Adventures into the Unknown That Changed Everything,Jheni Osman,272,Michael O'Mara Books Ltd,2020-11-01,15.64,0.36,4.06,17,0,0,4,8,5,1476217,9781789290790,English,Biography
From the Books of Laurence Hutton,Laurence Hutton,200,Nabu Press,2010-01-08,22.69,1.30,4,2,0,0,0,2,0,9781141222957,9781141222957,English,Biography
Oprah Winfrey Book : The Biography of Oprah Winfrey,University Press,60,Independently Published,2021-04-20,11.35,0.68,4.11,70,2,4,9,24,31,1304731,9798741310373,English,Biography
Winston Churchill's War Leadership,Martin Gilbert,112,Random House USA Inc,2004-04-13,11.25,2.25,3.8,122,1,5,39,50,27,766971,9781400077328,English,Biography
The Little Book of Irish Boxing,Barry Flynn,144,The History Press Ltd,2015-12-01,15.18,2.82,3,1,0,0,1,0,0,1284824,9781845888763,English,Biography
The Book of Queer Prophets : 24 Writers on Sexuality and Religion,Ruth Hunt,240,HarperCollins Publishers,2021-05-27,10.16,1.34,4.16,360,5,7,52,156,140,1092971,9780008360092,English,Biography
"I'm Still Here: Black Dignity in a World Made for Whiteness : A bestselling Reese's Book Club pick by 'a leading voice on racial justice' LAYLA SAAD, author of ME AND WHITE SUPREMACY",Austin Channing Brown,192,"Little, Brown Book Group",2020-08-20,15.05,2.45,4.39,64881,1044,1211,5345,21290,35991,332655,9780349014869,English,Biography
A Shelf of Old Books,Annie Fields,236,Nabu Press,2010-07-28,24.58,1.41,5,3,0,0,0,0,3,9781176288430,9781176288430,English,Biography
The Greatest Games : The ultimate book for football fans inspired by the #1 podcast,Jamie Carragher,368,Transworld Publishers Ltd,2021-10-26,11.97,0.53,4.03,180,4,3,34,82,57,58326,9780552177740,English,Biography
Pocket Diana Wisdom : Wise and Inspirational Words from the People's Princess,Hardie Grant Books,96,Hardie Grant Books (UK),2022-05-12,10.09,0.41,5,1,0,0,0,0,1,1348527,9781784884956,English,Biography
Live Your Dreams : Inspiration to Follow Your God-Given Passions,Thomas Nelson Gift Books,160,Thomas Nelson Publishers,2021-08-19,18.17,0.83,4.5,2,0,0,0,1,1,2542618,9781400220335,English,Biography
Alice James,Jean Strause,392,"The New York Review of Books, Inc",2011-11-01,20.35,0.65,3.82,158,4,11,37,64,42,907598,9781590174531,English,Biography
Durruti : The People Armed,"Abel Paz, Nancy Macdonald",328,BLACK ROSE BOOKS,2020-08-01,40.37,8.13,4.29,195,2,6,31,50,106,971543,9780919618732,English,Biography
The Books That Mattered : A Reader's Memoir,Frye Gaillard,224,"NewSouth, Incorporated",2012-09-01,27.06,1.94,3.94,51,1,2,9,26,13,3586877,9781588382870,English,Biography
China Watcher : Confessions of a Peking Tom,Richard Baum,336,University of Washington Press,2014-04-01,29.73,0.77,4.03,36,0,1,6,20,9,831541,9780295992532,English,Biography
