title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
The Little Book of Prayer Experiments,The Revd Dr Miranda Threlfall-Holmes,112,SPCK Publishing,2017-09-01,10.51,6.19,4.33,12,0,0,2,4,6,999661,9780281075683,English,"Mind, Body, Spirit"
Better Day Book: 52 Ways to Have Happier Days,Olivia Gibbs,172,Schiffer Publishing Ltd,2020-10-28,22.83,0.67,4.83,6,0,0,0,1,5,837110,9780764360947,English,"Mind, Body, Spirit"
Water and Fire : The Astrological Elements Book 1,Darby Costello,242,Raven Dreams Press,2019-03-13,20.17,6.53,4.29,17,1,1,0,5,10,454978,9781732650411,English,"Mind, Body, Spirit"
The Book of the Mysteries of the Heavens and the Earth : And Other Works of Bakhayla Mikael (Zosimas),Sir E. A. Wallis Budge,192,"Hays (Nicolas) Ltd ,U.S.",2004-07-08,18.85,1.15,4.38,13,0,1,1,3,8,1696657,9780892540877,English,"Mind, Body, Spirit"
Little Book of True Ghost Stories,Echo Bodine,208,Hampton Roads Publishing Co,2011-08-03,13.48,2.52,3.53,201,8,34,51,60,48,1072809,9781571746504,English,"Mind, Body, Spirit"
The Lost Book of the Grail : The Sevenfold Path of the Grail and the Restoration of the Faery Accord,"Caitlín Matthews, John Matthews",352,Inner Traditions Bear and Company,2019-08-22,24.53,1.47,4.14,22,1,0,4,7,10,1075933,9781620558294,English,"Mind, Body, Spirit"
One Year Wiser : The Coloring Book,Mike Medaglia,112,SELFMADEHERO,2016-01-19,14.26,1.74,4.43,136,0,3,17,35,81,1039535,9781910593141,English,"Mind, Body, Spirit"
The Law Of Attraction In Action : Episode V,"Esther Hicks, Jerry Hicks",2,Hay House Inc,2008-08-28,16.21,1.79,5,10,0,0,0,0,10,466697,9781401920357,English,"Mind, Body, Spirit"
"The Book of the Cave of Treasures : A History of the Patriarchs and the Kings, from the Creation to the Crucifixion of Christ.",E a Wallace Budge,160,Aziloth Books,2018-11-29,12.43,1.27,4.34,38,0,2,3,13,20,1085651,9781911405658,English,"Mind, Body, Spirit"
"Kinship: Belonging in a World of Relations, Vol. 4 - Persons","Gavin Van Horn, Robin Wall Kimmerer, John Hausdoerffer",194,Center for Humans and Nature,2021-11-18,16.48,7.02,4.33,12,0,0,1,6,5,1373503,9781736862537,English,"Mind, Body, Spirit"
Astrology: A Guided Workbook: Volume 2 : Understand and Explore the Wisdom of the Universe,Editors of Chartwell Books,192,Book Sales Inc,2022-07-26,12.06,0.44,3.8,5,0,0,2,2,1,1684946,9780785840831,English,"Mind, Body, Spirit"
Radical Lives Vol 2 2018: 2 : 20 Inspirational True-Life Stories of Courage You Will Never Forget,"Janet Balcombe, Ray Curle",162,Wild Side Publishing,2018-08-20,16.15,0.85,5,1,0,0,0,0,1,963037,9780473414030,English,"Mind, Body, Spirit"
Spirit Marriage : Intimate Relationships with Otherworldly Beings,"Megan Rose, Orion Foxwood",448,Inner Traditions Bear and Company,2022-05-12,24.90,1.10,4.37,19,1,0,3,2,13,601510,9781591434153,English,"Mind, Body, Spirit"
Handbook for the New Paradigm,George Green,183,Bridger House Publications Inc.,2012-02-06,8.15,1.75,4.09,68,6,3,4,21,34,497000,9781893157040,English,"Mind, Body, Spirit"
Living While Black : The Essential Guide to Overcoming Racial Trauma - A GUARDIAN BOOK OF THE YEAR,Guilaine Kinouani,256,Ebury Publishing,2021-06-03,14.40,1.60,4.64,78,0,1,3,19,55,342805,9781529109436,English,"Mind, Body, Spirit"
Isle of Winds : The Changeling Series Book 1,James Fahy,244,Lume Books,2021-05-27,13.79,2.21,4.25,1309,21,49,182,386,671,434540,9781839013652,English,"Mind, Body, Spirit"
The Comprehensive Guide to Herbalism for Beginners : (2 Books in 1) Grow Medicinal Herbs to Fill Your Herbalist Apothecary with Natural Herbal Remedies and Plant Medicine,"Ava Green, Kate Bensinger",300,Green HopeX,2022-02-20,48.73,3.77,4,6,0,0,2,2,2,920108,9781956493122,English,"Mind, Body, Spirit"
Astadala Yogamala Vol.1 the Collected Works of B.K.S.Iyengar,Yogacarya B K S Iyengar,282,Allied Publishers Pvt Ltd,2000-09-11,25.88,4.02,4.5,12,0,0,2,2,8,994325,9788177640465,English,"Mind, Body, Spirit"
"Making Friends with Anxiety : A warm, supportive little book to help ease worry and panic",Sarah Rayner,134,Creative Pumpkin Ltd,2017-05-04,8.72,0.38,3.79,492,13,33,136,171,139,327808,9780995774445,English,"Mind, Body, Spirit"
"Journal of Vampire Studies : Vol. 1, No. 1 (2020)","Anthony Hogg, Andrew M Boylan",144,Vampire Studies Association,2020-12-17,11.01,0.09,4,2,0,0,0,2,0,392520,9781947181083,English,"Mind, Body, Spirit"
Who Says You Can't? You Do : The life-changing self help book that's empowering people around the world to live an extraordinary life,Daniel Chidiac,368,John Murray Press,2020-12-24,13.40,0.10,3.33,3,1,0,0,1,1,241170,9781473688353,English,"Mind, Body, Spirit"
Secret Techniques Of Wing Chun Kung Fu Vol.3 : Third Level - Bil Jee,"K.T. Chao, J.E. Weakland",136,Paul H. Crompton Ltd,2011-03-01,15.46,2.54,4,2,0,0,0,2,0,827941,9780901764621,English,"Mind, Body, Spirit"
Three Books of Occult Philosophy or Magic,Heinrich Cornelius Agrippa V Nettesheim,308,BiblioLife,2009-02-28,23.67,4.32,4.12,1489,30,80,269,419,691,2100293,9781103430116,English,"Mind, Body, Spirit"
"The Wellbeing Book : 50 ways to focus your mind, boost your body and supercharge your soul",Andrew Sharman,128,LID Publishing,2019-01-17,12.24,0.26,4.22,9,0,0,1,5,3,1035537,9781911498872,English,"Mind, Body, Spirit"
Kindly Bent to Ease Us: v. 2,"Longchen Rabjam, H.V. Guenther",126,"Dharma Publishing,U.S.",1976-01-01,15.50,2.50,4,17,1,1,1,8,6,839000,9780913546437,English,"Mind, Body, Spirit"
Ba Gua Nei Gong Vol. 3 : Twelve Posture Standing,Tom Bisio,98,Outskirts Press,2013-11-27,16.80,3.30,4.83,6,0,0,0,1,5,871184,9781432799533,English,"Mind, Body, Spirit"
An Experiment with Time,J W Dunne,176,Dover Publications Inc.,2022-08-17,12.92,0.08,3.66,316,7,41,81,111,76,52606,9780486849942,English,"Mind, Body, Spirit"
"Book of Sin, The : How to save the world - a practical guide",Jerry Hyde,344,John Hunt Publishing,2018-07-27,17.04,1.46,4.2,15,0,2,1,4,8,1030607,9781785356933,English,"Mind, Body, Spirit"
"The Unofficial Bridgerton Coloring Book : From the Gardens to the Ballrooms, Color Your Way Through Grosvenor Square",Sara Richard,96,Adams Media Corporation,2021-09-16,12.50,3.50,3.8,5,1,0,1,0,3,1931278,9781507216798,English,"Mind, Body, Spirit"
Tarot: From Novice to Pro in One Book,Colette Brown,112,John Hunt Publishing,2011-11-25,10.23,5.77,3,3,0,1,1,1,0,912825,9781846949654,English,"Mind, Body, Spirit"
Gods and Dragons: Wake the Dragon Book 3,Kevin J. Anderson,496,St Martin's Press,2022-01-11,26.97,6.03,4.21,165,2,5,29,49,80,720067,9781250302205,English,"Mind, Body, Spirit"
The Urantia Book Workbooks : Volume IV - Jesus,Urantia Foundation,456,Urantia Foundation,2003-05-01,23.95,8.05,4.5,10,0,0,2,1,7,1884945,9780942430967,English,"Mind, Body, Spirit"
THE PRACTICE OF SOUL-CENTERED HEALING Vol. II : Navigating the Inner World,Thomas Zinser,316,Union Street Press,2016-07-25,28.86,2.44,5,1,0,0,0,0,1,868730,9780983429432,English,"Mind, Body, Spirit"
Read Like the Devil : The essential course in reading playing cards,Camelia Elias,330,EyeCorner Press,2021-03-12,26.54,4.16,4.33,6,0,0,1,2,3,13237,9788792633736,English,"Mind, Body, Spirit"
The Big Book of Unexplained Mysteries : 38 Mind-Boggling and Unsolved Mysteries Through History,Bill O'Neill,196,LAK Publishing,2022-06-17,15.72,1.08,4.01,172,2,11,40,50,69,1027920,9781648450877,English,"Mind, Body, Spirit"
The Book of the Mysteries of the Heavens and the Earth : And Other Works of Bakhayla Mikael (Zosimas),Sir E. A. Wallis Budge,192,"Hays (Nicolas) Ltd ,U.S.",2004-07-08,18.85,1.15,4.38,13,0,1,1,3,8,1696657,9780892540877,English,"Mind, Body, Spirit"
The Harbour Within : A Book of Simple Spirituality,Sister Consilio,208,HACHETTE BOOKS IRELAND,2018-02-27,8.28,8.72,3.85,13,0,0,5,5,3,352366,9781473650237,English,"Mind, Body, Spirit"
"MY WISDOM BOOK : Everyday Shlokas, Mantras, Bhajans and More",Swami Mukundananda,120,Rupa & Co,2022-06-06,14.03,2.47,4.62,16,0,0,2,2,12,18057,9789355204509,English,"Mind, Body, Spirit"
"The Book of the Cave of Treasures : A History of the Patriarchs and the Kings, from the Creation to the Crucifixion of Christ.",E a Wallace Budge,160,Aziloth Books,2018-11-29,12.43,1.27,4.34,38,0,2,3,13,20,1085651,9781911405658,English,"Mind, Body, Spirit"
The Little Book of Prayer Experiments,The Revd Dr Miranda Threlfall-Holmes,112,SPCK Publishing,2017-09-01,10.51,6.19,4.33,12,0,0,2,4,6,999661,9780281075683,English,"Mind, Body, Spirit"
The Book of Shi-Ji 4 : Ascension,Peter Slattery,140,Lulu.com,2022-03-19,16.87,3.23,5,12,0,0,0,0,12,1068441,9781471746611,English,"Mind, Body, Spirit"
"The Book of the Cave of Treasures : A History of the Patriarchs and the Kings, from the Creation to the Crucifixion of Christ.",E a Wallace Budge,160,Aziloth Books,2018-11-29,12.43,1.27,4.34,38,0,2,3,13,20,1085651,9781911405658,English,"Mind, Body, Spirit"
The Book of the Mysteries of the Heavens and the Earth : And Other Works of Bakhayla Mikael (Zosimas),Sir E. A. Wallis Budge,192,"Hays (Nicolas) Ltd ,U.S.",2004-07-08,18.85,1.15,4.38,13,0,1,1,3,8,1696657,9780892540877,English,"Mind, Body, Spirit"
The Witches' Book of the Dead,"Christian Day, Laurie Cabot",366,Warlock Press,2021-10-10,22.42,1.18,4.06,289,10,24,41,77,137,748129,9781733246644,English,"Mind, Body, Spirit"
The Kabala of Numbers Book Two,Sepharial,220,"Book Tree,US",2010-02-02,15.37,3.13,3.89,28,1,3,5,8,11,1741027,9781585093373,English,"Mind, Body, Spirit"
A Source-book of Scottish Witchcraft,"Christina Larner, Christopher Hyde Lee, Hugh V. McLachlan",356,Zeticula Ltd,2005-04-27,41.61,3.69,4,4,0,0,2,0,2,1032510,9781845300289,English,"Mind, Body, Spirit"
A Theurgist's Book of Hours,Jeffrey S Kupperman,200,Avalonia,2021-06-21,27.29,2.21,4.33,3,0,0,1,0,2,1084451,9781905297894,English,"Mind, Body, Spirit"
The UFO Abduction Book : Extraordinary Extraterrestrial Encounters of the Terrifying Kind,"Brad Steiger, Whitley Strieber",224,Red Wheel/Weiser,2022-03-11,16.73,3.27,4.05,22,0,3,3,6,10,1025767,9781590033074,English,"Mind, Body, Spirit"
The Little Book of Positive Quotations,"Leslie Ann Gibson, Steve Deger",232,"Fairview Press,U.S.",2006-10-03,12.62,0.33,3.6,15,0,1,6,6,2,1078521,9781577491583,English,"Mind, Body, Spirit"
The Little Book of Mushrooms : An Introduction to the Wonderful World of Mushrooms,Felicity Hart,128,Octopus Publishing Group,2022-07-14,8.10,1.90,3.5,2,0,0,1,1,0,30784,9781800073876,English,"Mind, Body, Spirit"
The Book on Mediums : Guide for Mediums and Invocators,Allan Kardec,464,Cosimo Classics,2007-03-31,34.08,1.22,4.37,598,11,21,75,121,370,1132190,9781602060951,English,"Mind, Body, Spirit"
