title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
Three Vicars Talking : The Book of the Brilliant BBC Radio 4 Series,"Richard Coles, Kate Bottley, Giles Fraser",160,SPCK Publishing,2020-11-24,9.55,7.95,4.45,56,1,0,5,17,33,473824,9780281084685,English,Religion
"Collected Writings of H. P. Blavatsky, Vol. 3 : 1881 - 1882",H. P. Blavatsky,583,"Theosophical Publishing House,U.S.",1999-11-30,30.46,1.54,5,1,0,0,0,0,1,765783,9780835600996,English,Religion
Tales of Padre Pio : The Friar of San Giovanni,John McCaffery,224,Bantam Doubleday Dell Publishing Group Inc,1995-03-01,14.53,0.97,4.06,18,0,1,4,6,7,595306,9780385177399,English,Religion
The Vocabulary Guide to Biblical Hebrew and Aramaic : Second Edition,"Gary D. Pratico, Miles V. Van Pelt",320,ZONDERVAN,2019-05-30,19.83,8.77,5,1,0,0,0,0,1,354765,9780310532828,English,Religion
"How to Read Classical Tibetan, Vol. 2: : Buddhist Tenets",Craig Preston,344,Shambhala Publications Inc,2013-01-16,46.62,1.38,5,1,0,0,0,0,1,729160,9781559393133,English,Religion
So Close to Heaven : The Vanishing Buddhist Kingdoms of the Himalayas,Barbara Crossette,320,Random House USA Inc,1996-07-01,17.04,0.96,3.67,117,2,7,42,43,23,509133,9780679743637,English,Religion
True Gospel Revealed Anew by Jesus Vol I,James E. Padgett,412,Lulu Press Inc,2014-07-22,27.64,1.16,4.57,14,0,1,0,3,10,654150,9781291958669,English,Religion
The Lamb Wins : A Guided Tour through the Book of Revelation,Richard Bewes,160,Christian Focus Publications Ltd,2013-07-20,9.55,0.45,4.43,14,0,0,3,2,9,290379,9781857925975,English,Religion
The Preacher's Commentary - Vol. 07: Judges and Ruth,David Jackman,356,Thomas Nelson Publishers,2004-07-30,22.34,1.36,3.75,4,0,0,2,1,1,742405,9780785247807,English,Religion
Theo-drama: Last Act v. 5 : Theological Dramatic Theory,"Hans Urs Von Balthasar, Graham Harrison",529,Ignatius Press,1998-07-31,42.30,3.70,4.61,38,0,0,3,9,26,745460,9780898706895,English,Religion
A Little Book for New Bible Scholars,"E. Randolph Richards, Joseph R. Dodson",126,InterVarsity Press,2017-05-09,8.33,6.67,4.12,64,0,3,12,23,26,764683,9780830851706,English,Religion
Spiritual Ecology : Reading the Book of Nature and Reconnecting with the World,"Rudolf Steiner, M. Barton",256,Rudolf Steiner Press,2008-07-01,18.13,0.37,4.12,8,1,0,0,3,4,296132,9781855842045,English,Religion
Life of St. Dominic,Bede Jarrett,160,Three Rivers Press,1995-03-01,12.18,3.42,4.2,54,0,1,11,18,24,400033,9780307590978,English,Religion
Rumi'S Little Book of Love and Laughter : Teaching Stories and Fables,Coleman Barks,240,Hampton Roads Publishing Co,2016-10-31,13.41,2.09,3.57,77,3,9,27,17,21,748613,9781571747617,English,Religion
I Love Fall! : A Touch-And-Feel Board Book,"Alison Inches, Hiroe Nakata",12,Little Simon,2009-09-08,7.54,0.46,3.74,107,0,5,41,38,23,275383,9781416936091,English,Religion
A Commentary on the General Instruction of the Roman Missal,"Donald W. Trautman, Bishop, Edward Foley, Capuchin, Nathan D. Mitchell, Joanne M. Pierce",520,Liturgical Press,2008-01-15,92.68,2.82,4.75,8,0,0,0,2,6,611382,9780814660171,English,Religion
The New Oxford Book of Christian Verse,Donald Davie,350,Oxford University Press,2003-10-02,33.58,12.02,3.88,43,1,3,10,15,14,781743,9780192804860,English,Religion
Lutheran Service Book,Concordia Publishing House,1024,Concordia Publishing House,2005-01-01,46.89,9.11,4.41,74,0,2,8,22,42,830891,9780758612182,English,Religion
So You Think You Know About Chapter? (Aziloth Books),Ray Hudson,132,Aziloth Books,2015-02-13,19.17,1.93,5,1,0,0,0,0,1,1488141,9781909735743,English,Religion
The Book of Chuang Tzu,"Zhuangzi, Herbert A Giles",294,Digireads.com,2021-07-03,19.14,1.76,4.35,2503,21,65,324,703,1390,812532,9781420973242,English,Religion
Can a Scientist Believe in Miracles? - An MIT Professor Answers Questions on God and Science,Ian Hutchinson,288,InterVarsity Press,2018-09-11,16.71,1.29,4.28,36,0,1,7,9,19,639202,9780830845477,English,Religion
The St. Teresa of Avila Prayer Book,Vinita Hampton Wright,176,Paraclete Press,2015-11-28,15.46,2.64,4.67,9,0,0,0,3,6,771867,9781612616605,English,Religion
Missing Pieces of the Bible: Lost Books Fill-in the Blanks Updated Version,Dawn Wessel,152,Lulu.com,2017-08-29,18.42,1.98,3,1,0,0,1,0,0,1556741,9781312328815,English,Religion
Understanding the Book of Hebrews : The Story Behind the Sermon,Kenneth Schenck,144,"Westminster/John Knox Press,U.S.",2005-06-01,22.90,3.90,3.7,23,0,1,10,7,5,809322,9780664224288,English,Religion
A Book of Prayers to Keep for Ever,Lois Rock,96,SPCK Publishing,2002-03-22,9.52,0.48,3.89,9,0,1,2,3,3,757497,9780745947556,English,Religion
The Life of Saint Teresa of Avila : A Biography,Carlos Eire,280,Princeton University Press,2019-06-11,26.55,0.44,3.89,28,0,4,3,13,8,560983,9780691164939,English,Religion
"The Woman's Book of Prayer : 365 Blessings, Poems and Meditations (Christian gift for women)","Becca Anderson, Bj Gallagher",236,Mango Media,2019-01-15,16.05,1.95,4.67,6,0,0,0,2,4,684015,9781633537774,English,Religion
Why Go to Church?,John Pritchard,48,SPCK Publishing,2019-05-01,4.97,1.53,4.25,4,0,0,1,1,2,559916,9780281074419,English,Religion
The Book of Acts and Paul in Roman Custody,Brian Rapske,520,William B Eerdmans Publishing Co,2004-09-28,46.51,8.29,4,5,0,0,2,1,2,787479,9780802829122,English,Religion
Divination : Elements of Wisdom,Jewels Rocka,64,Wooden Books,2021-03-08,6.79,0.71,3,1,0,0,1,0,0,632308,9781904263845,English,Religion
The How-To Book of Catholic Theology : Everything You Need to Know But No One Ever Taught You,Fr John P Cush S T D,232,Our Sunday Visitor,2020-10-02,18.13,2.87,4.5,4,0,0,0,2,2,847528,9781681924380,English,Religion
Al-Ghazali on the Condemnation of Pride and Self-Admiration : Book XXIX of the Revival of the Religious Sciences,"Abu Hamid al-Ghazali, Mohammed Rustom",227,The Islamic Texts Society,2018-08-01,20.38,1.62,4.81,16,0,0,0,3,13,287413,9781911141136,English,Religion
Books Of Daily Thoughts And Prayers By Swami Paramanda,Swami Paramananda,406,Read Books,2006-11-17,29.31,10.49,4.69,16,0,0,1,3,12,1907884,9781406712438,English,Religion
Worship as a Way of Life,Louie Giglio,160,Multnomah Press,2017-12-19,13.15,2.85,4.05,1027,8,59,208,350,402,637674,9780735290716,English,Religion
The Herald of God's Loving-Kindness Books 1 and 2,"Gertrud the Great of Helfta, Alexandra Barratt",192,Liturgical Press,1991-11-01,28.14,6.16,3.6,5,0,0,3,1,1,1697666,9780879074555,English,Religion
