title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
Books 7-9 : The New Rulebook & Pete Zendel Christian Fiction Series,Joy Ohagwu,710,Divine Breakthrough Infinity,2017-07-05,47.53,2.37,4.49,72,2,1,5,16,48,9798201355883,9798201355883,English,"Crime, Thriller"
The Twisted Blackmailer - Watson and Holmes Book 1,Tammy Garrison,288,MX Publishing,2016-12-09,17.39,2.61,4.4,5,0,0,1,1,3,1762712,9781787050242,English,"Crime, Thriller"
The Book of Phoenix,Nnedi Okorafor,240,Hodder & Stoughton,2016-02-11,9.25,3.25,3.95,5070,91,278,1090,1957,1654,162445,9781444762808,English,"Crime, Thriller"
The Papers of Sherlock Holmes: Vol. II,David Marcum,200,MX Publishing,2013-09-30,15.97,6.53,4.05,19,1,0,4,6,8,1594191,9781780924458,English,"Crime, Thriller"
Raven Black : Book One of the Shetland Island Mysteries,Ann Cleeves,384,Minotaur Books,2008-06-24,18.42,0.58,3.95,43099,546,1631,9266,19732,11924,71641,9780312359676,English,"Crime, Thriller"
"The Cat Who Came to Breakfast (The Cat Who... Mysteries, Book 16) : An enchanting feline whodunit for cat lovers everywhere",Lilian Jackson Braun,256,Headline Publishing Group,1994-06-02,10.76,1.74,3.93,8215,38,324,2367,2953,2533,702761,9780747245131,English,"Crime, Thriller"
Chasing Cezanne : A Novel,Peter Mayle,304,Random House USA Inc,1998-05-01,15.39,1.61,3.52,3801,67,378,1473,1292,591,81267,9780679781202,English,"Crime, Thriller"
Rider on the Rain,"Gallic Books, Sebastien Japrisot, Linda Coverdale",208,Gallic Books,2021-10-05,9.67,4.32,3.59,94,1,8,38,29,18,918863,9781913547134,English,"Crime, Thriller"
Meridian,Alice Walker,272,"Cengage Learning, Inc",2003-05-26,16.40,1.60,3.75,5868,80,374,1797,2319,1298,806640,9780156028349,English,"Crime, Thriller"
Ascension : an absolutely gripping BBC Two Between the Covers Book Club pick,Oliver Harris,336,"Little, Brown Book Group",2021-07-15,17.38,6.12,4.11,1000,4,32,175,428,361,401302,9781408709955,English,"Crime, Thriller"
How to Kill Your Best Friend : The breathtakingly twisty 2022 Richard and Judy Book Club pick,Lexie Elliott,320,Atlantic Books,2022-07-07,10.00,1.50,3.42,3153,99,364,1203,1083,404,21068,9781838950460,English,"Crime, Thriller"
Yellowthread Street: Gelignite (Book 3),William Marshall,210,Duckworth Books,2019-09-05,6.45,5.35,4.08,62,2,0,13,23,24,26150,9781911440987,English,"Crime, Thriller"
Naked to the Hangman : The Lydmouth Crime Series Book 8,Andrew Taylor,400,Hodder & Stoughton,2007-08-09,10.78,1.72,3.9,345,7,17,83,134,104,61555,9780340895214,English,"Crime, Thriller"
Crime For The Books,Kate Young,1,CROOKED LANE BOOKS,2022-10-13,27.20,5.80,3.95,200,3,7,49,79,62,9781639101085,9781639101085,English,"Crime, Thriller"
The Leather Satchel Paranormal Romance Series - Books 1 to 6,Darla Dunbar,196,Revelry Publishing,2020-07-26,16.14,3.16,5,1,0,0,0,0,1,9781987863406,9781987863406,English,"Crime, Thriller"
"The Silent Cry (William Monk Mystery, Book 8) : A gripping and evocative Victorian mystery",Anne Perry,416,Headline Publishing Group,1998-03-12,9.89,2.61,4.04,3926,29,84,829,1746,1238,300916,9780747252535,English,"Crime, Thriller"
The Mechanical Devil : Book 22 in the DI Wesley Peterson crime series,Kate Ellis,384,"Little, Brown Book Group",2018-11-06,10.41,2.09,4.12,746,7,12,151,293,283,87816,9780349413129,English,"Crime, Thriller"
"Tough Jews : Fathers, Sons, and Gangster Dreams",Rich Cohen,304,Random House USA Inc,1999-04-20,17.47,2.03,3.85,926,18,84,199,341,284,246840,9780375705472,English,"Crime, Thriller"
The Butcher Bird : Oswald de Lacy Book 2,S D Sykes,368,Hodder & Stoughton,2016-04-07,10.99,1.51,3.82,1053,6,70,280,453,244,102265,9781444785821,English,"Crime, Thriller"
A Question of Betrayal (Elena Standish Book 2),Anne Perry,336,Headline Publishing Group,2020-09-17,9.26,2.24,4,1916,12,90,415,773,626,320172,9781472257352,English,"Crime, Thriller"
The Queue,Vladimir Sorokin,280,"The New York Review of Books, Inc",2008-10-07,16.22,5.28,3.77,1458,37,108,391,545,377,208888,9781590172742,English,"Crime, Thriller"
"Triage X, Vol. 17",Shouji Sato,160,"Little, Brown & Company",2019-03-26,11.98,3.02,3.6,20,3,1,3,7,6,320431,9781975303761,English,"Crime, Thriller"
Secrets in Death : An Eve Dallas thriller (Book 45),J. D. Robb,464,"Little, Brown Book Group",2018-02-06,10.70,0.80,4.32,21591,151,431,2749,7385,10875,84917,9780349415819,English,"Crime, Thriller"
The Blood Pit : Book 12 in the DI Wesley Peterson crime series,Kate Ellis,352,"Little, Brown Book Group",2019-05-14,7.38,5.12,4.12,971,6,18,196,388,363,59368,9780349418926,English,"Crime, Thriller"
The Last Book,"Zoran Zivkovic, Alice Copple-Tosic, Youchan Ito",182,Zoran Zivkovic,2017-06-01,10.78,2.32,3.34,517,25,82,176,161,73,1040449,9784908793226,English,"Crime, Thriller"
"ACCA, Vol. 5",Natsume Ono,192,Yen Press,2018-11-13,14.05,1.95,4.2,49,0,1,10,16,22,317537,9780316446822,English,"Crime, Thriller"
