title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
"Guide to the Successful Thesis and Dissertation : A Handbook For Students And Faculty, Fifth Edition","James Mauch, Namgi Park",358,Taylor & Francis Inc,2003-08-01,131.51,60.99,3.89,18,0,0,8,4,6,1870902,9780824742881,English,Computing
The Definitive Guide to NetBeans Platform,Heiko Bock,450,Springer-Verlag Berlin and Heidelberg GmbH & Co. KG,2009-05-28,50.59,14.41,2.88,8,0,2,5,1,0,1716717,9781430224174,English,Computing
The Definitive Guide to SugarCRM : Better Business Applications,John Mertic,280,Springer-Verlag Berlin and Heidelberg GmbH & Co. KG,2009-12-30,51.19,12.96,3.47,15,0,1,8,4,2,1910883,9781430224396,English,Computing
Graphics Gems V (IBM Version),Alan W. Paeth,438,Elsevier Science & Technology,1995-06-15,76.67,0.28,4.21,14,0,2,2,1,9,2019360,9780125434553,English,Computing
iPhone Design Award-Winning Projects,Chris Dannen,216,Springer-Verlag Berlin and Heidelberg GmbH & Co. KG,2010-03-22,28.63,7.74,2.25,4,0,3,1,0,0,1910944,9781430272359,English,Computing
"iOS Forensic Analysis : for iPhone, iPad, and iPod touch","Sean Morrissey, Tony Campbell",372,Springer-Verlag Berlin and Heidelberg GmbH & Co. KG,2010-12-30,51.44,16.56,3.2,5,1,0,2,1,1,1906617,9781430233428,English,Computing
"Shared-Memory Parallelism Can Be Simple, Fast, and Scalable",Julian Shun,443,Morgan & Claypool Publishers,2017-06-01,106.37,27.73,2,1,0,1,0,0,0,9781970001884,9781970001884,English,Computing
Raspberry Pi & Hacking & Computer Programming Languages : 3 Books in 1: THE BLUEPRINT: Everything You Need To Know,Cyberpunk Architects,248,Cyberpunk Architects,2018-01-31,25.34,8.16,4,1,0,0,0,1,0,3676676,9781775235798,English,Computing
Hacking & Advanced Hacking : 2 BOOKS IN 1: THE BLUEPRINT: Everything You Need To Know For Hacking!,Cyberpunk Architects,178,Cyberpunk Architects,2018-01-31,22.40,5.10,2.75,4,1,1,1,0,1,9781775235767,9781775235767,English,Computing
The Genealogist's Virtual Library : Full-Text Books on the World Wide Web with free CD-ROM,Thomas Jay Kemp,268,ROWMAN & LITTLEFIELD,2002-03-01,124.39,8.61,4,1,0,0,0,1,0,9780842028646,9780842028646,English,Computing
