title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
T.BOR A Book (To Keep) +30 Postcards (To Send),"Maira Kalman, Steven Heller, Tibor Kalman",32,"Little Bookroom,U.S.",2002-10-01,18.45,2.55,4.5,6,0,0,1,1,4,1216929,9781892145055,English,Stationery
I'm Sorry I Farted Postcard Book,Dan Golden,25,Knock Knock,2017-08-29,8.84,2.16,4.33,3,0,0,0,2,1,1180123,9781683490388,English,Stationery
Harry Potter and the Sorcerer's Stone Enchanted Postcard Book,None,40,Harper Design,2017-12-05,11.22,1.78,4.5,2,0,0,0,1,1,1094340,9780062821638,English,Stationery
The Modern Wiccan Box of Spells : Includes 52 Enchanting Cards and a 64-Page Illustrated Spell Book,Gillian Kemp,64,"Ryland, Peters & Small Ltd",2018-11-09,19.34,0.66,4.33,3,0,0,1,0,2,366494,9781782496601,English,Stationery
Urban Words - The Dog,,32,Ravette Publishing Ltd,2019-09-12,7.36,0.14,3.5,2,0,0,1,1,0,823036,9781841614120,English,Stationery
The Great Confrontation : Europe and Islam through the Centuries,Ilya V. Gaiduk,256,"Ivan R Dee, Inc",2003-12-15,17.20,10.30,3.5,2,0,0,1,1,0,1130496,9781566635356,English,Stationery
Passover Haggadah - A Biography,"Ochs, Vanessa",232,Princeton University Press,2013-11-27,25.37,1.62,4.08,26,0,0,5,14,7,894153,9780691144986,English,Stationery
The Change Book : How Things Happen,"Mikael Krogerus, Roman Tschäppeler",176,WW Norton & Co,2015-05-16,18.36,0.64,3.47,543,19,70,196,154,104,1243581,9780393240368,English,Stationery
The Little Book of Great Women,New Internationalist,144,New Internationalist Publications Ltd,2009-10-01,4.72,1.27,3.67,3,0,0,1,2,0,1197595,9781906523220,English,Stationery
Improve Your American English Accent (Book w/ CD),Charlsie Childs,64,McGraw-Hill Education - Europe,2009-04-17,13.22,6.38,4.17,29,0,1,6,9,13,907114,9780071428095,English,Stationery
Leadership Skills for Managers,Marlene Caroselli,169,McGraw-Hill Education - Europe,2000-11-16,18.48,1.52,3.81,26,0,4,5,9,8,887037,9780071364300,English,Stationery
Classic Albums Colouring Book,Red Planet,1,Red Planet Publishing Ltd,2016-08-19,12.10,0.30,4,2,0,0,1,0,1,1023926,9781905959938,English,Stationery
The Little Book of Great Women,New Internationalist,144,New Internationalist Publications Ltd,2009-10-01,4.72,1.27,3.67,3,0,0,1,2,0,1197595,9781906523220,English,Stationery
