title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
"Fundamentals of III-V Devices - HBTs, MESFETs, and HFETs/HEMTs",W Liu,520,John Wiley & Sons Inc,1999-04-23,170.84,62.86,3.2,5,1,1,0,2,1,2416526,9780471297000,English,"Technology, Engineering"
"Healthy Land, Healthy Pasture, Healthy Horses : The Equicentral System Series Book 2","Jane Myers, Stuart Myers",262,Equiculture Publishing,2016-01-01,33.53,38.87,4.8,5,0,0,0,1,4,935234,9780994156181,English,"Technology, Engineering"
Macchi MC.200/MC.202/MC.205/ V Glares of War,Nicola Malizia,256,IBN,2006-06-15,52.92,7.18,5,1,0,0,0,0,1,2327684,9788875650308,English,"Technology, Engineering"
The Book Of The Goat - Containing Full Particulars Of The Various Breeds Of Goats And Their Profitable Management,"H.S., Holmes Pegler",376,Read Books,2008-11-30,39.09,7.31,4,2,0,0,0,2,0,2568397,9781443737593,English,"Technology, Engineering"
Modern Drying Technology - Computational Tools at Different Scales V 1,E Tsotsas,359,Wiley-VCH Verlag GmbH,2007-11-09,187.92,26.78,5,1,0,0,0,0,1,2765141,9783527315567,English,"Technology, Engineering"
The Prehistory and History of Ceramic Kilns V VII,PM Rice,262,American Ceramic Society,2006-03-15,121.75,46.05,4,1,0,0,0,1,0,2637483,9781574980264,English,"Technology, Engineering"
Yamaha XZ550 Vision V-Twins (82 - 85),Haynes Publishing,176,Haynes Manuals Inc,1988-09-01,38.34,5.16,4,1,0,0,0,1,0,2701737,9781850107613,English,"Technology, Engineering"
Dynamics of Polymeric Liquids 2e V 1,RB Bird,672,John Wiley & Sons Inc,1987-06-23,272.72,91.18,4.38,8,0,0,1,3,4,2070861,9780471802457,English,"Technology, Engineering"
How to Build Max-Performance Pontiac V-8s,Rocky Rotella,146,Cartech,2012-10-15,25.23,2.27,5,3,0,0,0,0,3,2219820,9781613254745,English,"Technology, Engineering"
Don'T Drink the Water (without Reading This Book) : Essential Guide to Our Contaminated Drinking Water and What You Can Do About it,Lono Kahuna Kupua A'o,112,"Kali Press,U.S.",2003-06-10,11.51,1.49,3.8,5,0,0,2,2,1,2497718,9780962888298,English,"Technology, Engineering"
History of the British Cavalry Vol.3 1872-1898,"George Charles Henry Victor Paget,Marquess of Anglesey",520,Pen & Sword Books Ltd,1997-03-01,45.73,28.77,4,2,0,0,0,2,0,2394152,9780436273278,English,"Technology, Engineering"
Horse Property Planning and Development : The Equicentral System Series Book 3,"Jane Myers, Stuart Myers",278,Equiculture Publishing,2016-01-01,33.85,39.75,4,1,0,0,0,1,0,1063666,9780994156198,English,"Technology, Engineering"
71 Famous Scientists : Who Spent Their Lives for Our Better Tomorrow,V&S Publishers Editorial board,160,V & S Publishers,2015-10-05,29.36,0.64,3.67,3,0,1,0,1,1,2743970,9789350571743,English,"Technology, Engineering"
Matchbox Toys: The Tyco Years 1993-1994,Charlie Mack,144,Schiffer Publishing Ltd,1997-01-06,19.80,4.20,3.25,4,1,1,0,0,2,1007571,9780887408656,English,"Technology, Engineering"
Analysis On Manifolds,James R. Munkres,380,Taylor & Francis Ltd,2019-06-13,127.05,10.45,4.04,47,0,2,10,19,16,2046358,9780367091156,English,"Technology, Engineering"
