title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
Russian Foreign Policy : The Return of Great Power Politics,Jeffrey Mankoff,352,Rowman & Littlefield,2011-09-22,54.88,15.22,4.07,57,1,0,12,25,19,792184,9781442208254,English,Reference
Crossing Boundaries with Children's Books,Doris Gebel,448,Scarecrow Press,2006-06-30,73.23,20.87,3,3,0,1,1,1,0,9780810852037,9780810852037,English,Reference
The Rare Books of Freemasonry,Lionel Vibert,54,Read Books,2019-05-02,11.19,2.31,3,1,0,0,1,0,0,9781528712835,9781528712835,English,Reference
Business Bullshit Book: The World's Most Comprehensive Dictionary,Kevin Duncan,288,LID Publishing,2017-01-17,12.63,3.87,4.25,4,0,0,0,3,1,1139697,9781910649855,English,Reference
"Films into Books : An Analytical Bibliography of Film Novelizations, Movie and TV Tie-Ins",Randall D. Larson,623,Scarecrow Press,1995-07-09,132.90,14.10,3.5,2,0,0,1,1,0,9780810829282,9780810829282,English,Reference
Books Fatal To Their Authors,Peter Hampson Ditchfield,108,Lector House,2020-09-04,10.55,1.45,2.87,23,1,9,7,4,2,9789390314669,9789390314669,English,Reference
Connecting Boys with Books 2 : Closing the Reading Gap,Michael Sullivan,136,American Library Association,2009-01-31,54.02,0.58,4.33,42,0,0,4,20,18,9780838909799,9780838909799,English,Reference
The Love of Books : The Philobiblon of Richard De Bury,"Richard De Bury, Ernest Chester Thomas",160,Tiger of the Stripe,2009-04-30,13.31,2.89,3.72,110,3,11,30,36,30,3767280,9781904799412,English,Reference
Enemies of Books,"William Blades, Randolph G. Adams, Bagher Bachchha",180,Tiger of the Stripe,2009-04-30,14.18,2.82,3.53,49,0,3,21,21,4,3749451,9781904799368,English,Reference
The Rare Books of Freemasonry,Lionel Vibert,52,Legare Street Press,2021-09-09,13.86,0.14,3,1,0,0,1,0,0,9781013301056,9781013301056,English,Reference
Stratemeyer Pseudonyms and Series Books : An Annotated Checklist of Stratemeyer and Stratemeyer Syndicate Publications,Deidre A. Johnson,343,ABC-CLIO,1982-06-18,74.17,1.53,4,1,0,0,0,1,0,9780313226328,9780313226328,English,Reference
A Dictionary of Books Relating to America,Joseph A. Sabin,1056,Scarecrow Press,1989-08-01,481.27,134.73,5,1,0,0,0,0,1,9780810800335,9780810800335,English,Reference
"Books, Bytes and Business : The Promise of Digital Publishing","Bill Martin, Xuemei Tian",298,Taylor & Francis Ltd,2010-10-31,132.76,5.74,4,4,0,0,1,2,1,9780754678373,9780754678373,English,Reference
Books About the Middle East : Selecting and Using them with Children and Adolescents,"Tami Al-Hazza, Katherine Toth Bucher",192,ABC-CLIO,2008-05-01,46.30,5.90,4.5,2,0,0,0,1,1,9781586832858,9781586832858,English,Reference
A Picture Book Primer : Understanding and Using Picture Books,Denise I. Matulka,328,ABC-CLIO,2008-09-30,62.03,0.17,3.44,16,0,3,5,6,2,1584839,9781591584414,English,Reference
Books and Beyond [4 volumes] : The Greenwood Encyclopedia of New American Reading,Kenneth Womack,1352,ABC-CLIO,2008-10-30,377.50,2.50,3.67,3,1,0,0,0,2,9780313337383,9780313337383,English,Reference
The Minor Law Books,F. Max Muller,402,Taylor & Francis Ltd,2001-09-21,25.94,111.56,3.67,3,0,0,1,2,0,9780700715282,9780700715282,English,Reference
The Minor Law Books,F. Max Muller,402,Taylor & Francis Ltd,2001-09-21,25.94,111.56,3.67,3,0,0,1,2,0,9780700715282,9780700715282,English,Reference
English Medieval Books : The Reading Abbey Collections from Foundation to Dispersal,Alan Coates,236,Oxford University Press,1999-04-22,214.40,43.10,5,1,0,0,0,0,1,2903201,9780198207566,English,Reference
Alphabet Books : The K-12 Educators' Power Tool,"Bonnie Mackey, Hedy Schiller Watson",162,ABC-CLIO,2016-11-30,46.62,4.28,5,2,0,0,0,0,2,3402321,9781440841620,English,Reference
