title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
Batman: Earth One Vol. 2,"Geoff Johns, Gary Frank, Various",144,Dc Comics,2016-06-21,14.39,1.61,4.25,5081,15,103,645,2144,2174,45087,9781401262518,English,Fiction
"Bleach, Vol. 25",Tite Kubo,200,"Viz Media, Subs. of Shogakukan Inc",2009-01-05,9.44,1.06,4.33,5316,32,117,798,1494,2875,53479,9781421517964,English,Fiction
"Mashle: Magic and Muscles, Vol. 5",Hajime Komoto,200,"Viz Media, Subs. of Shogakukan Inc",2022-04-28,9.31,1.69,4.22,614,3,4,98,256,253,22073,9781974727131,English,Fiction
"So I'm a Spider, So What?, Vol. 10 (light novel)","Okina Baba, Tsukasa Kiryu",272,"Little, Brown & Company",2020-11-17,14.60,0.40,4.52,1154,5,12,84,334,719,8896,9781975310363,English,Fiction
Suicide Squad Vol. 2: Basilisk Rising (The New 52),"Adam Glass, Fernando Dagnino",192,DC Comics,2013-02-19,15.78,2.72,3.68,4015,84,363,1278,1333,957,31017,9781401238445,English,Fiction
"Hide and Seek, Vol. 1",Yaya Sakuragi,192,"Viz Media, Subs. of Shogakukan Inc",2013-08-01,11.57,2.43,4.2,1069,11,36,179,347,496,44584,9781421555720,English,Fiction
"Ghost In The Shell, The: Vol. 1",Shirow Masamune,368,"Kodansha America, Inc",2015-10-08,32.93,1.07,4.16,11945,114,531,2010,3950,5340,42351,9781935429012,English,Fiction
Nightwing Vol.1: Leaping into the Light,"Tom Taylor, Bruno Redondo",160,DC Comics,2021-12-14,24.79,2.21,4.55,1787,8,12,97,545,1125,5587,9781779512789,English,Fiction
"Is It Wrong to Try to Pick Up Girls in a Dungeon?, Vol. 9 (light novel)","Fujino Omori, Suzuhito Yasuda",400,"Little, Brown & Company",2017-09-19,13.65,1.35,4.44,817,1,13,82,250,471,58946,9780316562645,English,Fiction
"Bungo Stray Dogs, Vol. 11","Kafka Asagiri, Sango Harukawa",192,"Little, Brown & Company",2019-06-18,11.71,1.79,4.47,1451,2,9,132,468,840,24063,9781975304492,English,Fiction
"Bungo Stray Dogs, Vol. 10","Kafka Asagiri, Sango Harukawa",192,"Little, Brown & Company",2019-03-19,11.77,2.23,4.52,1541,1,3,133,468,936,5039,9781975303716,English,Fiction
"Pokemon Adventures (Red and Blue), Vol. 7","Hidenori Kusaka, Mato",224,"Viz Media, Subs. of Shogakukan Inc",2013-10-10,9.96,0.04,4.5,2099,14,42,174,523,1346,36582,9781421530604,English,Fiction
"Re:ZERO -Starting Life in Another World-, Vol. 19 LN","Tappei Nagatsuki, Shinichirou Otsuka",260,"Little, Brown & Company",2022-07-26,13.12,2.88,4.43,127,1,0,12,45,69,22783,9781975335298,English,Fiction
