title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
Henry Ford,Samuel S. Marquis,248,Wayne State University Press,2007-08-30,33.51,3.19,4.4,5,0,0,0,3,2,9780814333679,9780814333679,English,Transport
Motor Truck Engineering Handbook,James Fitch,452,SAE International,1994-01-01,68.57,1.43,2,1,0,1,0,0,0,3537490,9781560913788,English,Transport
Innovations in Freight Transport: v. 11,"E. Taniguchi, R. G. Thompson",264,WIT Press,2002-10-01,130.59,36.41,4,1,0,0,0,1,0,9781853128943,9781853128943,English,Transport
Hot Rods and Custom Cars of the Sacramento Delta,John V. Callahan,170,Arcadia Publishing,2019-02-04,23.37,0.63,3,2,1,0,0,0,1,9781467139953,9781467139953,English,Transport
"Hey, I'm Marty. I Drive the Bus : If You Have Ever Driven A Bus Or Have Been A Passenger On A Bus, You Must Read This Book",Marty Molinaro,168,AuthorHouse,2008-10-30,11.20,0.90,4.33,3,0,0,0,2,1,1121473,9781438911366,English,Transport
Taking Flight : Education and Training for Aviation Careers,"National Research Council, Division of Behavioral and Social Sciences and Education, Commission on Behavioral and Social Sciences and Education, Committee on Education and Training for Civilian Aviation Careers, Clinton V., Jr. Oster, Janet S. Hansen",192,National Academies Press,1997-03-14,67.17,0.46,3,1,0,0,1,0,0,2938653,9780309056762,English,Transport
Ultimate Sheet Metal Fabrication Book (Black & White),Timothy Remus,146,Wolfgang Publications,2005-06-21,38.87,15.53,3.31,13,0,3,5,3,2,3807414,9781941064436,English,Transport
"Four Months in a Sneak-Box : A Boat Voyage of 2600 Miles Down the Ohio and Mississippi Rivers, and Along the Gulf of Mexico",Nathaniel Bishop,360,Applewood Books,2009-06-24,23.92,0.08,4.57,7,0,0,0,3,4,9781429020060,9781429020060,English,Transport
"Illustrated History of the Panama Railro : Together with a Traveler's Guide and Business Man's Hand-Book for the Panama Railroad and Its Connections with Europe, the United States, the North and South Atlantic and Pacific Coasts, China, Australia, and Japan, by Sail and Steam",Fessenden Otis,272,Applewood Books,2009-06-24,19.69,0.31,1.5,2,1,1,0,0,0,9781429020039,9781429020039,English,Transport
Reeds Vol 5: Ship Construction for Marine Engineers,"Paul Anthony Russell, E A Stokoe",256,Bloomsbury Publishing PLC,2022-10-04,53.49,9.01,3.5,2,0,1,0,0,1,9781472989208,9781472989208,English,Transport
