title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
"The ""Daily Telegraph"" Airmen's Obituaries: Bk. 2","Graham Pitchfork, Jay Iliff",416,Grub Street Publishing,2007-10-23,40.75,2.75,3.5,2,0,1,0,0,1,1471016,9781904943839,English,"History, Archaeology"
"Goin' Up and Lookin' Down : The Book about Flying, Airplanes, Pilots, Airports, Plane People, and Plane Stuff.",Lynn R Butch Pinson,224,iUniverse,2007-11-14,16.68,6.42,4.25,4,0,0,0,3,1,571843,9780595476855,English,"History, Archaeology"
Australia in the War of 1939-1945 Vol. VI : The New Guinea Offensives,David Dexter,922,Naval & Military Press,2014-03-12,62.16,69.34,4,4,0,0,1,2,1,1372660,9781783310029,English,"History, Archaeology"
Brown v. Board of Education and the Civil Rights Movement,Michael J. Klarman,296,Oxford University Press Inc,2007-07-31,27.77,5.23,3.88,50,0,3,15,17,15,1501418,9780195307634,English,"History, Archaeology"
Women & Revolution - A discussion of the unhappy marriage of Marxism and Feminism,Lydia Sargent,390,BLACK ROSE BOOKS,2023-01-27,15.50,1.00,3.72,25,1,0,10,8,6,1338808,9780919619203,English,"History, Archaeology"
Intimate Rivals : Japanese Domestic Politics and a Rising China,Sheila A. Smith,384,Columbia University Press,2016-06-01,28.88,2.02,3.8,25,0,0,10,10,5,1042170,9780231167895,English,"History, Archaeology"
Lockheed Martin C-5 Galaxy - Warbirdtech Vol. 36,Bill Norton,106,Specialty Press,2003-06-20,20.38,2.02,5,2,0,0,0,0,2,1582066,9781580072090,English,"History, Archaeology"
Modern Mongolia : From Khans to Commissars to Capitalists,Morris Rossabi,418,University of California Press,2005-04-25,39.23,1.47,3.86,42,1,0,13,18,10,921774,9780520244191,English,"History, Archaeology"
The MacKay : The Origins of the Clan MacKay and Their Place in History,Rennie McOwan,32,Lang Syne Publishers Ltd,1997-03-31,4.56,0.94,4,5,0,0,1,3,1,1464284,9781852170738,English,"History, Archaeology"
Scottish Airfields in the Second World War: Lothians v. 1,Martyn Chorlton,160,COUNTRYSIDE BOOKS,2008-11-10,25.25,2.75,4,4,0,0,2,0,2,1483893,9781846741067,English,"History, Archaeology"
Bicoca 1522 : la primera victoria de Carlos V en Italia,"Antonioed. lit. Carrasco García, Mario Díaz Gavier",71,Almena Ediciones,2009-09-08,18.22,2.01,4,1,0,0,0,1,0,1617353,9788492714032,Spanish,"History, Archaeology"
"Titus Livius. Selections from the First Five Books, Together with the Twenty-First and Twenty-Second Books Entire; Chiefly from the Text of Alschefski; With English Notes by J. L. Lincoln. Second Edition, Revised. Lat.","Livy, John Larkin Lincoln",380,"British Library, Historical Print Editions",2011-03-25,31.30,3.70,5,2,0,0,0,0,2,9781241428365,9781241428365,English,"History, Archaeology"
Boeing B-17 Flying Fortress- Warbirdtech Vol. 7,Frederick A Johnsen,106,Specialty Press,1997-04-22,20.63,1.07,4.2,5,0,0,1,2,2,1463104,9781580072113,English,"History, Archaeology"
Robert Emmet and the 1798 Rebellion: Vol 1,Ruan O'Donnell,304,Irish Academic Press Ltd,2003-08-01,25.54,1.96,3.5,6,0,1,1,4,0,1667436,9780716527893,English,"History, Archaeology"
Mr Peacock's Possessions : THE TIMES Book of the Year,Lydia Syson,432,Hot Key Books,2019-07-04,9.16,2.34,3.82,379,9,17,102,155,96,791572,9781471403699,English,"History, Archaeology"
Hermann Goering: Personal Photograph Album Vol 3 : From Secret Luftwaffe to Hossbach War Conference 1935-37,Blaine Taylor,272,Fonthill Media LLc,2017-02-03,34.44,9.06,5,1,0,0,0,0,1,1941221,9781625450197,English,"History, Archaeology"
The Organization and Order of Battle of Militaries in World War II: British Commonwealth v. 2,Charles D. Pettibone,432,Trafford Publishing,2006-06-30,34.05,0.55,4,2,0,0,1,0,1,1347920,9781412085670,English,"History, Archaeology"
Rethinking the New Left : An Interpretative History,V. Gosse,240,Palgrave USA,2005-10-13,71.10,12.90,3.74,27,0,3,6,13,5,2143412,9781403966957,English,"History, Archaeology"
The Living and the Dead : Robert McNamara and Five Lives of a Lost War,Paul Hendrickson,448,Random House USA Inc,1997-11-01,20.99,0.01,4.02,184,2,6,42,70,64,1251470,9780679781172,English,"History, Archaeology"
American Humor : A Study of the National Character,"Constance Rourke, Greil Marcus",258,"The New York Review of Books, Inc",2004-02-29,18.58,1.42,3.71,58,3,3,17,20,15,1365697,9781590170793,English,"History, Archaeology"
DZIALOSZYCE Memorial Book - an English Translation of Sefer Yizkor Shel Kehilat Dzialoshitz Ve-ha-seviva,"Menachem Daum, Fay Bussgang, Julian Bussgang",376,Jewishgen.Inc,2012-11-12,48.76,4.19,4,1,0,0,0,1,0,1113248,9780976475989,English,"History, Archaeology"
Portraits without Frames,"Lev Ozerov, Maria Bloshteyn, Irina Mashinski, Boris, Robert Chandler",280,"The New York Review of Books, Inc",2018-12-04,17.04,0.96,4.05,37,0,2,8,13,14,1283736,9781681372686,English,"History, Archaeology"
An Amish Paradox : Diversity and Change in the World's Largest Amish Community,"Charles E. Hurst, David L. McConnell",376,Johns Hopkins University Press,2010-05-31,31.86,12.44,3.92,38,0,0,13,15,10,1180548,9780801893995,English,"History, Archaeology"
Bicoca 1522 : la primera victoria de Carlos V en Italia,"Antonioed. lit. Carrasco García, Mario Díaz Gavier",71,Almena Ediciones,2009-09-08,18.22,2.01,4,1,0,0,0,1,0,1617353,9788492714032,Spanish,"History, Archaeology"
"The Inquisitor in the Hat Shop : Inquisition, Forbidden Books and Unbelief in Early Modern Venice",Federico Barbierato,432,Taylor & Francis Ltd,2012-02-21,147.49,0.11,4.4,5,0,0,1,1,3,1703822,9781409435471,English,"History, Archaeology"
One Bright Spot,V. Haskins,281,Palgrave USA,2005-11-05,70.76,13.24,3.83,6,0,0,2,3,1,2534981,9781403947444,English,"History, Archaeology"
The Baghdad Clock : Winner of the Edinburgh First Book Award,"Shahad Al Rawi, Luke Leafgren",272,Oneworld Publications,2019-05-14,10.35,1.15,3.57,2408,246,266,560,545,791,798895,9781786074867,English,"History, Archaeology"
Thucydides Reader : Annotated Passages from Books I-VIII of the Histories,"Thucydides, Blaise Nagy",176,Focus Publishing/R Pullins & Co,2012-03-15,28.78,3.22,3.83,6,0,0,2,3,1,1943445,9781585104123,"Greek, Ancient (to 1453)","History, Archaeology"
The Publishing Game : Adventures in Books: 150 years of Hodder & Stoughton,Edward Stourton,272,HODDER & STOUGHTON,2019-03-26,24.10,17.40,1.75,4,1,3,0,0,0,1907314,9781473671171,English,"History, Archaeology"
Rethinking the New Left : An Interpretative History,V. Gosse,240,Palgrave USA,2005-10-13,71.10,12.90,3.74,27,0,3,6,13,5,2143412,9781403966957,English,"History, Archaeology"
Americanon : An Unexpected U.S. History in Thirteen Bestselling Books,Jess McHugh,432,Penguin Putnam Inc,2022-06-09,17.85,1.15,3.93,351,3,16,78,159,95,1360909,9781524746643,English,"History, Archaeology"
Tales of High Priests and Taxes : The Books of the Maccabees and the Judean Rebellion against Antiochos IV,Sylvie Honigman,568,University of California Press,2014-10-02,84.21,13.79,4,2,0,0,1,0,1,1664314,9780520275584,English,"History, Archaeology"
The Living and the Dead : Robert McNamara and Five Lives of a Lost War,Paul Hendrickson,448,Random House USA Inc,1997-11-01,20.99,0.01,4.02,184,2,6,42,70,64,1251470,9780679781172,English,"History, Archaeology"
From New Jerusalem to New Labour : British Prime Ministers from Attlee to Blair,V. Bogdanor,208,Palgrave Macmillan,2010-03-15,35.43,11.57,4.5,4,0,0,1,0,3,2029341,9780230574557,English,"History, Archaeology"
"Bookish Histories : Books, Literature, and Commercial Modernity, 1700-1900","I. Ferris, P. Keen",283,Palgrave Macmillan,2009-12-15,96.67,17.83,4.5,2,0,0,0,1,1,1831571,9780230222311,English,"History, Archaeology"
"The Mediterranean and Middle East: The Destruction of the Axis Forces in Africa, Official Campaign History v. IV","I.S.O. Playfair, C.J.C. Molony, F.C. Flynn, James Butler",574,Naval & Military Press Ltd,2016-10-18,42.23,4.27,4.17,6,0,0,1,3,2,1081399,9781845740689,English,"History, Archaeology"
